روز,ماه,سال,میانگین عیار خوراک,میانگین عیار محصول,میانگین عیار باطله
1,10,1403,28.52,38.12,9.63
2,10,1403,22.19,34.82,8.74
3,10,1403,28.56,42.17,9.32
4,10,1403,31.65,37.58,8.82
5,10,1403,34.41,42.34,9.56
6,10,1403,28.05,37.2,9.26
7,10,1403,27.74,37.64,13.1
8,10,1403,28.63,46.62,9.66
9,10,1403,,,
10,10,1403,,,
11,10,1403,,,
12,10,1403,,,
13,10,1403,,,
14,10,1403,,,
15,10,1403,,,
16,10,1403,,,
17,10,1403,35.46,,
18,10,1403,27.33,38.97,12.03
19,10,1403,28.81,34.45,11.41
20,10,1403,30.13,40.83,13.68
21,10,1403,34.96,45.63,13.71
22,10,1403,40.91,48.81,16
23,10,1403,33.61,42.49,11.92
24,10,1403,26.56,42.39,11.44
25,10,1403,30.64,38.77,11.45
26,10,1403,32.89,38.93,14.78
27,10,1403,27.93,35.33,10.74
28,10,1403,31.98,39.31,12.7
29,10,1403,33.14,42.62,14.18
30,10,1403,30.4,44.86,12.39
1,11,1403,34.78,41.63,12.8
2,11,1403,36.15,43.24,13.34
3,11,1403,29.94,40.65,13.7
4,11,1403,29.35,37.8,10.04
5,11,1403,28.39,37.57,11.98
6,11,1403,32.26,43.81,9.64
7,11,1403,34.5,44.01,15.05
8,11,1403,29.97,39.77,10.72
9,11,1403,32.61,40.67,11.22
10,11,1403,32.22,41.91,14.35
11,11,1403,29.18,39.11,10.96
12,11,1403,31.47,40.74,13.75
13,11,1403,31.98,42.01,11.8
14,11,1403,28.58,37.72,12.03
15,11,1403,26.47,37.51,11.52
16,11,1403,30.79,34.16,8.93
17,11,1403,31.61,38.53,10.56
18,11,1403,27.28,35.84,10.62
19,11,1403,28.1,34.03,12.54
20,11,1403,35.15,39.25,13.7
21,11,1403,33.03,37.07,11.14
22,11,1403,26.96,37.66,12.51
23,11,1403,27.35,38.62,12.21
24,11,1403,27.25,33.56,11.18
25,11,1403,34.57,40.71,13
26,11,1403,31.72,43.73,13.82
27,11,1403,29.27,44.13,16.38
28,11,1403,35.07,41.97,13.19
29,11,1403,28.87,35.25,14.43
30,11,1403,31.64,36.29,13.5
1,12,1403,28.65,33.6,12.47
2,12,1403,31,40.74,13.86
3,12,1403,33.38,40.84,11.99
4,12,1403,29.44,36.47,11.57
5,12,1403,32.41,41.39,13.05
6,12,1403,28.38,38.49,12.76
7,12,1403,32.13,35.97,10.48
8,12,1403,32.55,41.39,12.98
9,12,1403,26.38,35.23,14.88
10,12,1403,27.96,36.3,11.6
11,12,1403,28.53,38.84,11.79
12,12,1403,28.05,33.56,8.82
13,12,1403,26.58,37.4,11.16
14,12,1403,32.88,39.69,8.62
15,12,1403,30.73,37.63,12.08
16,12,1403,28.83,35.48,11.88
17,12,1403,27.1,35,13.21
18,12,1403,,,
19,12,1403,,,
20,12,1403,,,
21,12,1403,30.51,36.07,9.78
22,12,1403,35.01,43.9,8.67
23,12,1403,29.5,35.39,10.35
24,12,1403,36.66,42.37,9.26
25,12,1403,31.39,36.85,10.07
26,12,1403,30.74,38.48,10.71
27,12,1403,32.26,38.64,9.63
28,12,1403,31.49,39.59,10.12
29,12,1403,30.93,39.49,10.87
30,12,1403,31.08,40.21,9.28
1,1,1404,29.41,33.75,12.26
2,1,1404,29.37,36.59,11.32
3,1,1404,27.51,35.55,10.74
4,1,1404,27.53,34.84,12.46
5,1,1404,27.13,36.89,10.12
6,1,1404,30.62,35.08,10.58
7,1,1404,34.38,43.56,12.17
8,1,1404,30,44.15,8.82
9,1,1404,26.15,35.32,13.73
10,1,1404,31.39,38.79,9.71
11,1,1404,28.19,39.34,10.76
12,1,1404,26.61,35.18,12.39
13,1,1404,33.25,41.26,11.54
14,1,1404,,,
15,1,1404,,,
16,1,1404,36.31,41.26,10.6
17,1,1404,30.71,38.06,7.53
18,1,1404,25.77,34.38,12.1
19,1,1404,24.67,32.19,11.87
20,1,1404,36.47,42.57,12.51
21,1,1404,29.14,36.26,15.42
22,1,1404,32.26,37.56,14.05
23,1,1404,32.68,43.17,11.86
24,1,1404,30.15,37.47,10.12
25,1,1404,35.13,43.27,12.06
26,1,1404,27.29,35.3,10.03
27,1,1404,,,
28,1,1404,,,
29,1,1404,26.1,40.52,9.94
30,1,1404,26.74,34.23,11.5
31,1,1404,27.21,33.93,9.96
1,2,1404,28.87,36.04,12.78
2,2,1404,29.9,37.18,9.56
3,2,1404,34.13,40.04,12.59
4,2,1404,26.78,33.89,6.31
5,2,1404,31.53,40.74,8.15
6,2,1404,29.47,38.47,6.43
7,2,1404,28.78,35.4,13.37
8,2,1404,31.27,39.1,12.91
9,2,1404,30.01,39.86,10.08
10,2,1404,,,
11,2,1404,29.23,35.4,13.27
12,2,1404,32.56,38.28,15.6
13,2,1404,30.32,38.73,10.25
14,2,1404,39.66,46.14,10.68
15,2,1404,26.78,33.89,6.31
16,2,1404,27.2,41.45,8.9
17,2,1404,26.78,33.89,6.31
18,2,1404,31.03,35.51,12.57
19,2,1404,32.23,37.17,10.78
20,2,1404,27.44,37.56,8.01
21,2,1404,38.89,41.12,10.93
22,2,1404,38.08,45.09,8.82
23,2,1404,,,
24,2,1404,30.64,37.02,12.79
25,2,1404,31.64,39.47,8.89
26,2,1404,29.76,37.96,10.15
27,2,1404,32.05,38.41,7.54
28,2,1404,32.45,36.73,11.25
29,2,1404,30.54,36.69,11.86
30,2,1404,28.7,38.43,13.7
31,2,1404,34.72,41.55,11.64
1,3,1404,29.25,35.32,13.08
2,3,1404,32.81,39.14,13.63
3,3,1404,31.12,37.73,10.92
4,3,1404,29.91,35.58,11.61
5,3,1404,29.2,35.62,8.85
6,3,1404,25.68,32.85,9.83
7,3,1404,,,
8,3,1404,,,
9,3,1404,20.91,26.53,10.41
10,3,1404,30.81,35.29,12.68
11,3,1404,29.88,38.62,9.92
12,3,1404,30.56,38.29,9.89
13,3,1404,27.53,36.51,9.4
14,3,1404,27.74,32.34,9.92
15,3,1404,35.57,42.91,15.14
16,3,1404,31.95,41.05,9.84
17,3,1404,29.75,39.85,11.26
18,3,1404,30.15,40.04,13.77
19,3,1404,26.48,39.64,7.24
20,3,1404,27.83,36.85,12.07
21,3,1404,28.49,34.8,9.31
22,3,1404,25.65,35.52,10.64
23,3,1404,33.58,38.9,10.94
24,3,1404,30.32,38.45,9.13
25,3,1404,26.86,37.47,10.09
26,3,1404,26.96,34.87,11.65
27,3,1404,25.99,35,9.56
28,3,1404,27.67,34.35,10.9
29,3,1404,29.3,32.56,12.21
30,3,1404,,,
31,3,1404,,,
1,4,1404,0,0,0
2,4,1404,28.05,34.44,12.23
3,4,1404,26.22,32.44,10.09
4,4,1404,30.43,39.51,9.11
5,4,1404,27.17,33.41,10.17
6,4,1404,32.7,37.72,8.66
7,4,1404,32.21,39.68,8.98
8,4,1404,31.05,38.38,10.95
9,4,1404,29.25,35.56,10.36
10,4,1404,30.42,38.09,10.64
11,4,1404,32.4,40.76,12.69
12,4,1404,27.8,34.9,11.34
13,4,1404,28.64,38.83,11.85
14,4,1404,31.78,41.22,11.63
15,4,1404,36.54,38.47,13.24
16,4,1404,26.49,35.41,11.38
17,4,1404,32.99,40.93,11.32
18,4,1404,27.38,32.1,11.73
19,4,1404,0,0,0
20,4,1404,32.42,35.48,8.99
21,4,1404,28.26,36.95,10.82
22,4,1404,23.87,31.6,9.43
23,4,1404,25.65,33.65,9.73
24,4,1404,31.04,39.64,14.76
25,4,1404,26.39,34.13,12.55
26,4,1404,30.33,35.09,11.32
27,4,1404,29.97,34.25,11.58
28,4,1404,27.69,35.09,11.85
29,4,1404,31.09,39.96,11.66
30,4,1404,30.38,34.9,10.52
31,4,1404,36.11,41.63,10.69
